model,variant,dataset,psnr,ssim,lpips,params_m,gmacs,size_mb,latency_ms,device
nafnet_w32,fp16,Test100,30.760874884469168,0.9144641525891363,0.17725454430494988,,,58.558463,12.967950871097855,cuda
nafnet_w32,dynamic_int8,Rain100H,30.229662322998045,0.8914908289909362,0.2173212003707886,,,116.874031,315.56148719391786,cpu
nafnet_w32,dynamic_int8,Rain100L,36.934884300231936,0.9700911313295364,0.10125948205590247,,,116.874031,315.56148719391786,cpu
nafnet_w32,dynamic_int8,Test100,30.762027370686432,0.9144822796996759,0.17723374707358225,,,116.874031,315.56148719391786,cpu
nafnet_w32,static_int8,Rain100H,29.283979530334474,0.8595770138502121,0.2487059138715267,,,31.906153,147.75746960076503,cpu
nafnet_w32,static_int8,Rain100L,34.974215507507324,0.9498183727264404,0.12880159553140402,,,31.906153,147.75746960076503,cpu
nafnet_w32,static_int8,Test100,29.95647379816795,0.8892172702721187,0.2329286149113762,,,31.906153,147.75746960076503,cpu
nafnet_w32_kd,fp16,Rain100H,30.430127544403078,0.8936790227890015,0.21358981929719448,,,58.560473,12.372909550031181,cuda
nafnet_w32_kd,fp16,Rain100L,37.324563846588134,0.9720574122667313,0.09781456373631954,,,58.560473,12.372909550031181,cuda
nafnet_w32_kd,static_int8,Rain100H,29.604550952911378,0.8649673181772232,0.23985982984304427,,,31.914151,201.57630939938826,cpu
nafnet_w32_kd,static_int8,Rain100L,35.48565942764282,0.9526840257644653,0.12233160965144635,,,31.914151,201.57630939938826,cpu
drsformer,fp32,Rain100H,33.8667798614502,0.940353199839592,0.11939468659460545,,,134.971977,238.3904473099392,cuda
drsformer,fp32,Rain100L,40.49843254089355,0.9861971533298493,0.03451173333451152,,,134.971977,238.3904473099392,cuda
drsformer,fp32,Test100,24.025937819967464,0.8379411405446578,0.25099959680620504,,,134.971977,238.3904473099392,cuda
drsformer,fp32,Test1200,30.00843449115753,0.8838864372670651,0.2175797784049064,,,134.971977,238.3904473099392,cuda
drsformer,fp32,Test2800,30.150662029130118,0.9029414919444493,0.16727141964116266,,,134.971977,238.3904473099392,cuda
drsformer,fp16,Rain100H,33.86656854629516,0.9403426039218903,0.11930206749588251,,,67.686005,149.42769930974464,cuda
drsformer,fp16,Rain100L,40.4985126876831,0.986193580031395,0.0345076768565923,,,67.686005,149.42769930974464,cuda
drsformer,fp16,Test100,24.02584527463329,0.8379380782039798,0.25101353068436894,,,67.686005,149.42769930974464,cuda
drsformer,dynamic_int8,Rain100H,33.86636657714844,0.940353074669838,0.11940029859542847,,,134.958893,16728.33757920307,cpu
drsformer,dynamic_int8,Rain100L,40.496716537475585,0.986194019317627,0.034507986102253196,,,134.958893,16728.33757920307,cpu
drsformer,dynamic_int8,Test100,24.025042232202026,0.8379213481533284,0.2510422011267166,,,134.958893,16728.33757920307,cpu
restormer_fp32,onnx,Rain100H_20img,33.0366,,,,,107.1143,141.4289,ort_gpu
